,date,price,year
0,20190703,272.37,2019
1,20190702,275.97,2019
2,20190701,277.27,2019
3,20190628,277.50,2019
4,20190628,277.50,2019
5,20190627,277.75,2019
6,20190626,275.53,2019
7,20190625,275.28,2019
8,20190624,275.58,2019
9,20190621,275.48,2019
10,20190620,276.01,2019
11,20190620,276.01,2019
12,20190619,275.31,2019
13,20190618,271.36,2019
14,20190617,270.09,2019
15,20190614,270.48,2019
16,20190613,271.13,2019
17,20190612,272.74,2019
18,20190612,272.74,2019
19,20190611,273.21,2019
20,20190610,272.10,2019
21,20190607,268.27,2019
22,20190605,267.99,2019
23,20190604,267.66,2019
24,20190603,268.16,2019
25,20190603,268.16,2019
26,20190531,263.89,2019
27,20190530,263.93,2019
28,20190529,261.37,2019
29,20190528,264.70,2019
30,20190527,264.40,2019
31,20190524,264.42,2019
32,20190524,264.42,2019
33,20190523,266.38,2019
34,20190522,266.65,2019
35,20190521,266.12,2019
36,20190520,264.96,2019
37,20190517,264.35,2019
38,20190516,265.99,2019
39,20190516,265.99,2019
40,20190515,269.64,2019
41,20190514,268.57,2019
42,20190513,268.72,2019
43,20190510,272.06,2019
44,20190509,271.00,2019
45,20190508,280.15,2019
46,20190508,280.15,2019
47,20190507,281.31,2019
48,20190503,283.67,2019
49,20190502,286.12,2019
50,20190430,284.92,2019
51,20190429,286.79,2019
52,20190426,281.34,2019
53,20190426,281.34,2019
54,20190425,282.83,2019
55,20190424,283.70,2019
56,20190423,286.47,2019
57,20190422,285.87,2019
58,20190419,285.89,2019
59,20190418,285.82,2019
60,20190418,285.82,2019
61,20190417,290.33,2019
62,20190416,290.62,2019
63,20190415,289.38,2019
64,20190412,288.37,2019
65,20190411,287.42,2019
66,20190410,287.92,2019
67,20190410,287.92,2019
68,20190409,286.71,2019
69,20190408,286.38,2019
70,20190405,286.68,2019
71,20190404,286.15,2019
72,20190403,285.65,2019
73,20190402,281.72,2019
74,20190402,281.72,2019
75,20190401,280.32,2019
76,20190329,276.48,2019
77,20190328,275.08,2019
78,20190327,277.28,2019
79,20190326,277.60,2019
80,20190325,277.45,2019
81,20190325,277.45,2019
82,20190322,283.13,2019
83,20190321,282.38,2019
84,20190320,279.92,2019
85,20190319,279.82,2019
86,20190318,279.93,2019
87,20190315,279.87,2019
88,20190315,279.87,2019
89,20190314,276.64,2019
90,20190313,276.00,2019
91,20190312,277.73,2019
92,20190311,275.06,2019
93,20190308,274.84,2019
94,20190307,278.87,2019
95,20190307,278.87,2019
