,accTradePrice,accTradeVolume,candleDateTime,candleDateTimeKst,change,changePrice,code,convertedTradePrice,prevClosingPrice,timestamp,tradeDate,tradeDateKst,tradePrice
0,37425283816,3796.058211,2019-06-04T00:00:00+00:00,2019-06-04T09:00:00+09:00,FALL,124000,CRIX.UPBIT.KRW-BTC,,9999000,1.55961E+12,2019-06-04,,9875000
1,91977369426,8905.524878,2019-06-03T00:00:00+00:00,2019-06-03T09:00:00+09:00,FALL,506000,CRIX.UPBIT.KRW-BTC,,10505000,1.55961E+12,2019-06-03,,9999000
2,71775106042,6868.795649,2019-06-02T00:00:00+00:00,2019-06-02T09:00:00+09:00,RISE,155000,CRIX.UPBIT.KRW-BTC,,10350000,1.55952E+12,2019-06-02,,10505000
3,56967244230,5514.705903,2019-06-01T00:00:00+00:00,2019-06-01T09:00:00+09:00,FALL,33000,CRIX.UPBIT.KRW-BTC,,10383000,1.55943E+12,2019-06-01,,10350000
4,97698875582,9590.305735,2019-05-31T00:00:00+00:00,2019-05-31T09:00:00+09:00,RISE,263000,CRIX.UPBIT.KRW-BTC,,10120000,1.55935E+12,2019-05-31,,10383000
5,1.4621E+11,14079.82621,2019-05-30T00:00:00+00:00,2019-05-30T09:00:00+09:00,FALL,205000,CRIX.UPBIT.KRW-BTC,,10325000,1.55926E+12,2019-05-30,,10120000
6,86431110833,8371.070289,2019-05-29T00:00:00+00:00,2019-05-29T09:00:00+09:00,FALL,8000,CRIX.UPBIT.KRW-BTC,,10333000,1.55917E+12,2019-05-29,,10325000
7,69704616071,6739.85221,2019-05-28T00:00:00+00:00,2019-05-28T09:00:00+09:00,FALL,43000,CRIX.UPBIT.KRW-BTC,,10376000,1.55909E+12,2019-05-28,,10333000
8,1.25688E+11,12067.23806,2019-05-27T00:00:00+00:00,2019-05-27T09:00:00+09:00,RISE,77000,CRIX.UPBIT.KRW-BTC,,10299000,1.559E+12,2019-05-27,,10376000
9,1.1006E+11,11097.02674,2019-05-26T00:00:00+00:00,2019-05-26T09:00:00+09:00,RISE,705000,CRIX.UPBIT.KRW-BTC,,9594000,1.55892E+12,2019-05-26,,10299000
10,42378085670,4423.414673,2019-05-25T00:00:00+00:00,2019-05-25T09:00:00+09:00,RISE,14000,CRIX.UPBIT.KRW-BTC,,9580000,1.55883E+12,2019-05-25,,9594000
11,85093234544,8929.980922,2019-05-24T00:00:00+00:00,2019-05-24T09:00:00+09:00,RISE,89000,CRIX.UPBIT.KRW-BTC,,9491000,1.55874E+12,2019-05-24,,9580000
12,89346955514,9626.427436,2019-05-23T00:00:00+00:00,2019-05-23T09:00:00+09:00,RISE,182000,CRIX.UPBIT.KRW-BTC,,9309000,1.55866E+12,2019-05-23,,9491000
13,83848748948,8874.093623,2019-05-22T00:00:00+00:00,2019-05-22T09:00:00+09:00,FALL,200000,CRIX.UPBIT.KRW-BTC,,9509000,1.55857E+12,2019-05-22,,9309000
14,93082551308,9783.222663,2019-05-21T00:00:00+00:00,2019-05-21T09:00:00+09:00,FALL,72000,CRIX.UPBIT.KRW-BTC,,9581000,1.55848E+12,2019-05-21,,9509000
15,1.08765E+11,11458.02698,2019-05-20T00:00:00+00:00,2019-05-20T09:00:00+09:00,FALL,131000,CRIX.UPBIT.KRW-BTC,,9712000,1.5584E+12,2019-05-20,,9581000
16,1.54585E+11,16388.29983,2019-05-19T00:00:00+00:00,2019-05-19T09:00:00+09:00,RISE,889000,CRIX.UPBIT.KRW-BTC,,8823000,1.55831E+12,2019-05-19,,9712000
17,1.03532E+11,11615.277,2019-05-18T00:00:00+00:00,2019-05-18T09:00:00+09:00,FALL,68000,CRIX.UPBIT.KRW-BTC,,8891000,1.55822E+12,2019-05-18,,8823000
18,1.93477E+11,22071.33565,2019-05-17T00:00:00+00:00,2019-05-17T09:00:00+09:00,FALL,574000,CRIX.UPBIT.KRW-BTC,,9465000,1.55814E+12,2019-05-17,,8891000
19,1.63495E+11,17057.02756,2019-05-16T00:00:00+00:00,2019-05-16T09:00:00+09:00,FALL,141000,CRIX.UPBIT.KRW-BTC,,9606000,1.55805E+12,2019-05-16,,9465000
20,1.69852E+11,17857.08636,2019-05-15T00:00:00+00:00,2019-05-15T09:00:00+09:00,RISE,107000,CRIX.UPBIT.KRW-BTC,,9499000,1.55796E+12,2019-05-15,,9606000
