asin,item_model_no,product_name,review,review_date,score,user
B00EQ239NI,MegaGear-Protective-Leather-Cyber-shot-DSC-RX100,"MegaGear Protective Leather Brown Camera Case, For Sony Cyber-shot DSC-RX100 V, DSC-RX100 IV with 24-70mm Lens, DSC-RX100 III, DSC-RX100 II","Bought this for the Sony RX100M3. It's a perfect fit, except the lens makes the camera too thick for comfort. So, XActo knife! I cut out a semi-circle for the lens--now it's ideal! The wrap-around flap still completely protects the camera, and the stick-out lens makes it easy to get the camera out when the flap is lifted.,I've tried a number of other cases, but this is the best. I like a belt case, and this has the loop. I wear it rearward of the right hip, and it sits in a spot where it's hard to see front on, yet easy to access. Sweet spot that does not interfere with sitting in a chair or car seat.,Only improvement, to my mind, would be a real snap instead of a magnetic one. The magnetic one is pretty good, but sometimes comes undone when putting on a seat belt, etc. Still, the flap keeps the camera securely in the case even when un-snapped.,Quality material & workmanship. I preferred a darker color, so wiped it down with black shoe dye, the rubbed with a cloth to get a darker brown antique-y look.","July 18, 2014",5.0 out of 5 stars,Big Max
B00EQ239NI,MegaGear-Protective-Leather-Cyber-shot-DSC-RX100,"MegaGear Protective Leather Brown Camera Case, For Sony Cyber-shot DSC-RX100 V, DSC-RX100 IV with 24-70mm Lens, DSC-RX100 III, DSC-RX100 II","Fits the RX100 version 1 perfectly; can't imagine it wouldn't fit the RX100 II just as well.  Nice tanned leather; the strap matches the case (another reviewer said his didn't, but the set I got match perfectly).  A matching leather wrist strap is also included; it's a bit thicker than the nylon one that comes with the camera, and matches the case.  The case also has a leather-covered belt clip.  All I wanted was something to protect the camera, which I always keep in my briefcase or flight bag, and this is perfect.  The straps and belt clip might be useful to others.","May 9, 2014",5.0 out of 5 stars,Aerieudite
B00EQ239NI,MegaGear-Protective-Leather-Cyber-shot-DSC-RX100,"MegaGear Protective Leather Brown Camera Case, For Sony Cyber-shot DSC-RX100 V, DSC-RX100 IV with 24-70mm Lens, DSC-RX100 III, DSC-RX100 II","This is a very nice leather case for my RX100. Love the width-wise case, the combination of soft suede interior and durable leather exterior, the slightly lowered sides that allow the wrist strap to hang out, and especially the magnetic closure. Only reason I didn't give five stars was that the magnet part of the closure pulled out of the bottom of the case. After putting it back in a few times by reinserting the tabs, it broke. A testament to the quality of the leather work is that the metal broke before the leather gave way. I'll be ordering another if I can't successfully epoxy the closure back in.","November 2, 2016",4.0 out of 5 stars,Darryn W.
B00EQ239NI,MegaGear-Protective-Leather-Cyber-shot-DSC-RX100,"MegaGear Protective Leather Brown Camera Case, For Sony Cyber-shot DSC-RX100 V, DSC-RX100 IV with 24-70mm Lens, DSC-RX100 III, DSC-RX100 II","Others has said they didn't like to color, and the company must have listened because my arrive dark brown.  Don't expect leather for this price it is vinyl. but I don't dare.  I am not buying a fashion accessories I simply want a protective case for camera.  I wanted a belt loop so when hiking, walking or bike riding I would have the camera ready.  I like the magnet closure as it makes it easy to get the camera out with no fumbling.","June 18, 2016",5.0 out of 5 stars,Richard Parian
B00EQ239NI,MegaGear-Protective-Leather-Cyber-shot-DSC-RX100,"MegaGear Protective Leather Brown Camera Case, For Sony Cyber-shot DSC-RX100 V, DSC-RX100 IV with 24-70mm Lens, DSC-RX100 III, DSC-RX100 II","I'm actually happy with the color.. I was looking for this case in the lighter, camel brown that some of the other Mega Brands cases are in, but I settled for this darker one.  When the case arrived, I was surprised to see that I had gotten a camel colored one!  A win for me, but this was have been super annoying had I been wanting the dark brown.","July 14, 2014",4.0 out of 5 stars,K. M.
B00EQ239NI,MegaGear-Protective-Leather-Cyber-shot-DSC-RX100,"MegaGear Protective Leather Brown Camera Case, For Sony Cyber-shot DSC-RX100 V, DSC-RX100 IV with 24-70mm Lens, DSC-RX100 III, DSC-RX100 II","Nice quality, but the item was not as good looking as I hoped. It almost looked like one of those little clasp purses that you see women with at parties, so I wasn't interested in it for that reason alone.,Then, my Sony RX-100 m2 didn't fit very well. It fit the original RX-100 (m1) fine. RX-100 m3 also didn't fit.,It didn't seem like a very convenient design.","October 16, 2014",2.0 out of 5 stars,Stephen
B00EQ239NI,MegaGear-Protective-Leather-Cyber-shot-DSC-RX100,"MegaGear Protective Leather Brown Camera Case, For Sony Cyber-shot DSC-RX100 V, DSC-RX100 IV with 24-70mm Lens, DSC-RX100 III, DSC-RX100 II","Under careful inspection, this one isn't genuine leather as described so I'm disappointed but it's very well designed and made. I use this, for sony RX 100v and fits well.","December 20, 2016",3.0 out of 5 stars,Yspecial
B00EQ239NI,MegaGear-Protective-Leather-Cyber-shot-DSC-RX100,"MegaGear Protective Leather Brown Camera Case, For Sony Cyber-shot DSC-RX100 V, DSC-RX100 IV with 24-70mm Lens, DSC-RX100 III, DSC-RX100 II",This is an excellent and well made case that includes a shoulder strap and a belt loop.,"April 5, 2017",5.0 out of 5 stars,Joseph R. King
B00EQ239NI,MegaGear-Protective-Leather-Cyber-shot-DSC-RX100,"MegaGear Protective Leather Brown Camera Case, For Sony Cyber-shot DSC-RX100 V, DSC-RX100 IV with 24-70mm Lens, DSC-RX100 III, DSC-RX100 II","product is very useful, came  in as described ;  delivered in time","January 14, 2017",5.0 out of 5 stars,paryatak
B00EQ239NI,MegaGear-Protective-Leather-Cyber-shot-DSC-RX100,"MegaGear Protective Leather Brown Camera Case, For Sony Cyber-shot DSC-RX100 V, DSC-RX100 IV with 24-70mm Lens, DSC-RX100 III, DSC-RX100 II","Bought this originally for my Sony RX100m2 which it fit comfortably snug. When i upgraded to the RX100m4, the camera lens was too thick for the case so i cut out the shape of the lens in the case and it fits amazing! Sometimes you just have to innovate to make things work hahah","October 7, 2015",5.0 out of 5 stars,SNGLRTY
